Id,SalePrice
1001,51283.46
1002,71679.39
1003,252347.71
1004,147968.34
1005,218597.21
1006,128194.95
1007,206652.65
1008,65348.06
1009,239855.97
1010,86383.93
1011,110126.14
1012,94665.56
1013,152825.89
1014,96722.63
1015,132817.07
1016,232563.4
1017,223693.35
1018,216689.38
1019,188549.5
1020,204831.02
1021,154580.46
1022,218166.74
1023,114156.99
1024,208666.32
1025,343700.76
1026,118149.41
1027,159970.96
1028,283169.93
1029,123238.26
1030,128037.8
1031,102927.92
1032,251113.53
1033,310464.39
1034,244555.03
1035,105951.12
1036,56144.17
1037,300838.2
1038,266980.83
1039,76397.53
1040,52433.49
1041,184549.15
1042,175039.47
1043,198853.84
1044,271551.36
1045,313270.93
1046,109724.44
1047,352926.28
1048,134817.81
1049,166148.21
1050,90641.74
1051,194149.26
1052,199231.23
1053,195726.78
1054,143967.45
1055,268231.32
1056,201225.42
1057,215899.8
1058,235572.5
1059,318547.69
1060,183501.99
1061,219360.25
1062,79921.42
1063,119847.14
1064,147944.85
1065,138799.31
1066,264623.96
1067,185891.73
1068,187582.53
1069,228581.5
1070,119279.02
1071,130497.73
1072,160319.55
1073,113995.18
1074,165379.48
1075,209829.92
1076,178582.21
1077,173786.23
1078,129715.78
1079,155144.18
1080,118889.93
1081,179367.58
1082,117198.04
1083,209738.87
1084,164393.48
1085,186818.67
1086,163685.38
1087,68601.53
1088,268047.93
1089,190632.58
1090,219571.43
1091,48229.52
1092,167713.3
1093,166253.69
1094,179085.69
1095,129217.63
1096,180967.0
1097,123377.13
1098,171411.57
1099,92468.63
1100,211656.53
1101,3962.35
1102,103759.47
1103,140756.67
1104,157489.81
1105,107123.14
1106,313829.81
1107,209229.48
1108,242425.48
1109,191196.96
1110,285728.01
1111,204573.1
1112,211325.01
1113,120745.29
1114,142227.25
1115,108893.97
1116,279179.46
1117,218007.9
1118,135305.48
1119,136197.68
1120,114910.96
1121,119472.25
1122,230211.0
1123,72556.31
1124,93238.87
1125,186538.28
1126,101626.14
1127,222021.74
1128,254705.9
1129,220405.4
1130,127977.93
1131,150184.15
1132,102713.61
1133,133523.02
1134,251492.16
1135,185717.04
1136,111922.6
1137,127824.16
1138,83224.1
1139,222650.5
1140,124449.94
1141,132722.95
1142,198995.81
1143,342762.83
1144,79849.6
1145,54374.66
1146,132894.37
1147,192301.42
1148,166836.22
1149,138724.37
1150,182480.93
1151,116580.48
1152,154010.04
1153,207577.63
1154,127518.82
1155,220623.59
1156,204934.8
1157,156969.71
1158,212845.11
1159,246048.66
1160,189179.52
1161,149330.6
1162,213952.06
1163,114972.34
1164,146629.43
1165,176057.63
1166,210752.75
1167,255787.03
1168,208019.04
1169,203400.64
1170,431511.02
1171,129534.22
1172,184667.99
1173,163038.02
1174,239706.28
1175,213294.07
1176,300592.48
1177,127461.23
1178,129533.33
1179,113118.34
1180,85108.64
1181,254341.45
1182,257643.51
1183,454529.33
1184,143591.04
1185,203450.79
1186,113014.62
1187,73725.95
1188,273463.13
1189,204176.35
1190,213987.77
1191,174247.07
1192,193633.37
1193,125312.42
1194,170166.65
1195,147051.88
1196,180828.58
1197,234149.44
1198,162520.34
1199,193893.64
1200,128465.9
1201,77045.75
1202,206144.9
1203,126643.51
1204,213694.65
1205,146370.17
1206,276530.34
1207,112472.66
1208,222107.47
1209,151775.41
1210,279056.05
1211,214541.61
1212,236172.06
1213,69927.54
1214,128842.52
1215,114463.51
1216,94182.47
1217,152387.04
1218,233638.82
1219,42602.76
1220,106941.78
1221,105720.24
1222,114688.85
1223,174004.2
1224,177673.96
1225,223909.19
1226,140321.77
1227,220218.2
1228,147721.06
1229,311999.91
1230,123946.16
1231,214743.58
1232,136306.58
1233,87869.59
1234,143525.35
1235,108658.33
1236,125250.33
1237,184600.22
1238,220448.41
1239,163338.26
1240,243831.52
1241,227181.59
1242,238973.15
1243,186219.05
1244,354574.64
1245,193810.75
1246,215744.37
1247,193196.45
1248,156342.97
1249,175105.73
1250,109348.69
1251,260322.38
1252,198935.22
1253,110845.19
1254,263710.19
1255,207521.19
1256,140079.86
1257,298207.99
1258,76554.6
1259,197850.34
1260,173608.35
1261,191536.57
1262,118012.99
1263,130913.27
1264,168240.11
1265,176172.77
1266,179820.92
1267,129434.16
1268,312432.49
1269,349084.67
1270,131874.16
1271,251599.37
1272,184904.12
1273,120518.34
1274,179163.37
1275,133447.9
1276,146364.37
1277,170000.68
1278,194145.44
1279,261809.19
1280,84660.67
1281,224484.44
1282,227344.79
1283,155945.8
1284,133421.34
1285,215590.97
1286,121649.04
1287,171433.98
1288,176059.97
1289,244936.4
1290,265609.27
1291,153261.95
1292,111716.2
1293,137991.87
1294,206671.57
1295,133031.74
1296,132331.71
1297,152524.53
1298,148288.72
1299,639419.21
1300,141702.01
1301,239572.9
1302,164800.65
1303,298002.06
1304,234755.91
1305,190637.87
1306,304680.71
1307,198117.29
1308,139039.93
1309,148724.6
1310,190885.81
1311,264876.61
1312,217364.79
1313,301582.26
1314,327144.85
1315,97199.21
1316,211619.16
1317,269973.86
1318,186530.87
1319,265565.51
1320,78905.57
1321,178251.15
1322,39741.57
1323,238969.05
1324,60802.07
1325,272942.3
1326,44456.33
1327,45250.34
1328,128968.65
1329,245428.75
1330,209279.55
1331,252202.59
1332,115096.34
1333,83319.74
1334,125903.45
1335,124150.84
1336,187047.17
1337,136688.84
1338,40042.57
1339,240536.0
1340,108709.77
1341,108883.64
1342,177525.89
1343,258934.73
1344,179493.04
1345,202047.9
1346,69292.37
1347,267238.99
1348,271983.09
1349,237323.62
1350,173601.05
1351,217154.36
1352,176814.38
1353,150554.09
1354,350289.42
1355,243444.02
1356,204102.47
1357,96106.59
1358,151400.74
1359,150544.2
1360,327880.89
1361,191504.56
1362,243862.14
1363,105565.45
1364,169732.42
1365,152322.77
1366,213553.74
1367,222240.56
1368,116876.51
1369,153827.19
1370,252451.97
1371,98317.85
1372,192679.46
1373,264627.31
1374,395751.29
1375,248590.89
1376,250710.42
1377,95758.88
1378,138132.26
1379,105105.53
1380,149126.08
1381,44944.04
1382,218306.41
1383,178763.64
1384,147823.33
1385,126106.99
1386,109624.92
1387,289826.92
1388,190522.64
1389,308558.97
1390,140385.45
1391,234413.55
1392,140591.13
1393,112871.71
1394,141131.88
1395,235772.36
1396,285684.88
1397,180947.76
1398,124440.52
1399,153186.22
1400,157013.67
1401,116033.29
1402,208441.08
1403,211137.57
1404,257648.32
1405,79005.88
1406,259708.86
1407,129254.45
1408,102255.35
1409,99037.92
1410,237078.11
1411,222446.42
1412,162198.7
1413,69183.31
1414,286067.38
1415,184599.05
1416,246329.71
1417,113861.58
1418,295978.08
1419,115891.09
1420,225105.39
1421,174836.86
1422,143711.02
1423,149532.82
1424,186027.47
1425,157555.91
1426,155197.88
1427,246015.26
1428,140278.32
1429,115185.32
1430,199541.51
1431,176719.21
1432,140245.18
1433,65414.54
1434,208097.1
1435,161892.68
1436,201133.77
1437,98746.83
1438,309639.22
1439,179188.56
1440,199012.77
1441,232511.94
1442,153687.99
1443,328875.11
1444,107487.79
1445,209174.52
1446,116658.91
1447,141699.04
1448,271246.74
1449,104349.84
1450,74219.13
1451,112237.87
1452,247712.43
1453,126631.5
1454,126628.84
1455,207956.59
1456,186125.59
1457,247482.09
1458,230944.0
1459,132583.96
1460,158839.83
